Year,"Inflation, consumer prices (annual %)","Claims on central government, etc. (% GDP)",Net foreign assets (current LCU),Net domestic credit (current LCU)
1960,1.457975986,23.79753359,17254799998,3.28965E+11
1961,1.070724148,24.51269306,16139899998,3.59059E+11
1962,1.198773348,23.3625847,14111399999,3.93087E+11
1963,1.239669421,22.39586596,12817999999,4.31819E+11
1964,1.278911565,21.59259259,11075399999,4.73935E+11
1965,1.585169264,20.2061315,8839999999,5.22383E+11
1966,3.015075377,18.65570552,4691700000,5.53832E+11
1967,2.772785623,18.81327608,4690200000,6.08437E+11
1968,4.271796153,18.07214854,4887899999,6.6791E+11
1969,5.4623862,15.97656633,-2914400002,7.04545E+11
1970,5.838255338,16.27257168,7108889997,7.57947E+11
1971,4.292766688,15.53994076,16068552780,8.47214E+11
1972,3.272278247,14.54573883,14849305865,9.66022E+11
1973,6.177760064,13.13891913,14568966865,1.09877E+12
1974,11.0548048,12.52599106,15458847989,1.20036E+12
1975,9.143146865,14.5050994,29490901969,1.28436E+12
1976,5.744812635,15.5964625,45961992750,1.42046E+12
1977,6.501683995,14.68475271,45944482117,1.60167E+12
1978,7.630963839,13.2162839,47910293384,1.79619E+12
1979,11.25447113,12.43405385,36864019267,2.00646E+12
1980,13.54920197,13.24988879,85242956075,2.17584E+12
1981,10.33471534,13.99614161,1.52855E+11,2.39404E+12
1982,6.131427,16.85249877,1.52956E+11,2.53883E+12
1983,3.212435233,18.58417551,1.54607E+11,2.80765E+12
1984,4.300535475,19.28268014,1.54058E+11,3.19348E+12
1985,3.545644152,20.73748225,1.30312E+11,3.51398E+12
1986,1.898047722,22.98062879,1.21468E+11,3.87696E+12
1987,3.664563218,23.42269086,1.01493E+11,4.1544E+12
1988,4.077741107,21.9688078,1.1277E+11,4.43298E+12
1989,4.82700303,21.87796681,1.14804E+11,4.63458E+12
1990,5.39795644,22.57148243,72728253546,4.7252E+12
1991,4.234963965,25.37861743,78065459959,4.72487E+12
1992,3.028819678,27.37885692,37338618750,4.84013E+12
1993,2.951656966,27.88859876,-12774980021,5.01376E+12
1994,2.607441592,27.07532733,-99927124773,5.28267E+12
1995,2.805419689,27.07890011,-94038214637,5.6924E+12
1996,2.9312042,24.93312996,-54006950947,6.03179E+12
1997,2.337689937,24.38917771,-56259076746,6.53834E+12
1998,1.552279099,23.16371081,13074001897,7.15194E+12
1999,2.188027197,21.02400909,91585433629,7.77153E+12
2000,3.376857271,20.15952086,1.88609E+11,8.40392E+12
2001,2.826171119,19.76653195,96171370402,9.16701E+12
2002,1.586031627,21.24587334,47720688557,9.65984E+12
2003,2.270094973,20.69285884,-17064189999,1.02297E+13
2004,2.677236693,19.55016726,-86650132172,1.09593E+13
2005,3.392746845,18.82160958,-56571280092,1.19726E+13
2006,3.225944101,18.62416765,-1.04281E+11,1.3046E+13
2007,2.852672482,18.8447805,1.79461E+11,1.42588E+13
2008,3.839100297,17.78831741,2.67024E+11,1.49954E+13
2009,-0.355546266,22.19135502,2.09509E+11,1.49048E+13
2010,1.640043442,24.06582224,2.8738E+11,1.46113E+13
2011,3.156841569,32.77712787,-18957827146,1.54968E+13
2012,2.069337265,33.21622639,69137806076,1.60465E+13
2013,1.464832656,34.2165358,-2.75329E+11,1.73942E+13
2014,1.622222977,35.94188417,-3.97793E+11,1.84121E+13
2015,0.118627136,35.34771538,-4.80555E+11,1.89616E+13
2016,1.261583206,38.13712755,-4.27157E+11,1.98895E+13
2017,2.130110004,39.40994559,-2.44793E+11,2.08001E+13
2018,2.442583297,38.99174172,-89651531520,2.11553E+13
2019,1.812210075,41.23148609,2.33383E+11,2.24147E+13
2020,1.233584396,53.5910311,2.74334E+11,2.58858E+13
2021,4.697858864,62.07227991,3.27115E+11,3.01115E+13
2022,8.002799821,28.98217137,91343437471,2.99618E+13
